"STATION_ID","MEAN_CPUE","LATITUDE","LONGITUDE"
"E-01",13966.5407501483,56.33,-167.65
"E-18",21088.9854589534,56.33,-168.25
"E-19",18284.2229298529,56.33,-168.87
"E-21",10303.5523299369,56.33,-170.07
"F-02",6259.11075516016,56.67,-167.07
"F-18",36823.9940673009,56.67,-168.28
"F-19",38077.1266204473,56.67,-168.9
"F-23",51624.3696244991,56.67,-171.35
"F-24",10332.7481094217,56.67,-171.97
"G-01",6940.43259559541,57,-167.7
"G-04",8662.19233778221,57,-165.85
"G-05",8726.62887397196,57,-165.22
"G-18",7047.09092099525,57,-168.33
"G-20",12264.541945632,57,-169.55
"G-23",17107.1706522223,57,-171.4
"G-24",14601.0899116921,57,-172.03
"H-01",17837.2876258799,57.33,-167.73
"H-02",26259.3293956628,57.33,-167.12
"H-03",16847.0443077764,57.33,-166.48
"H-04",15239.3303865194,57.33,-165.87
"H-05",8177.75880688072,57.33,-165.23
"H-18",9125.70069656291,57.33,-168.37
"H-20",38631.5525208075,57.33,-169.6
"H-21",9117.28434410906,57.33,-170.22
"H-22",8196.57359383356,57.33,-170.85
"H-23",29860.500577674,57.33,-171.47
"H-24",32553.1766187951,57.33,-172.1
"I-01",31539.6877440755,57.67,-167.77
"I-02",29058.0312172428,57.67,-167.13
"I-03",32159.5067230754,57.67,-166.5
"I-04",26625.1505645156,57.67,-165.88
"I-05",6951.06846267764,57.67,-165.25
"I-18",74427.3259563166,57.67,-168.4
"I-19",43203.3251911996,57.67,-169.03
"I-20",84673.1267693079,57.67,-169.65
"I-21",40459.3014346137,57.67,-170.27
"I-22",19062.2008585476,57.67,-170.9
"I-23",30963.2457639506,57.67,-171.53
"I-24",51724.3227441771,57.67,-172.17
"I-25",50998.5042906888,57.67,-172.8
"J-01",101376.711528588,58,-167.8
"J-02",71772.830455426,58,-167.17
"J-03",46609.3598615472,58,-166.52
"J-04",21713.7658677283,58,-165.9
"J-18",92844.0502771379,58,-168.43
"J-19",68132.1205890043,58,-169.07
"J-20",95861.8752132377,58,-169.7
"J-21",109089.790486897,58,-170.33
"J-22",34324.8334139183,58,-170.97
"J-23",67189.6777068,58,-171.6
"J-24",112350.30441211,58,-172.23
"J-25",63262.7075529608,58,-172.87
"J-26",71379.4712953108,58,-173.48
"K-01",28051.5073792237,58.33,-167.83
"K-18",76991.6399901254,58.33,-168.47
"K-19",104018.702468902,58.33,-169.12
"K-20",52063.1565815585,58.33,-169.73
"K-21",126397.831066058,58.33,-170.38
"K-22",56537.7901365335,58.33,-171.02
"K-23",28279.0609359091,58.33,-171.65
"K-24",416534.699522399,58.33,-172.3
"K-25",21368.9690633144,58.33,-172.93
"K-26",45428.4162870144,58.33,-173.57
"L-18",59657.0262799215,58.67,-168.5
"L-19",57080.2282225832,58.67,-169.15
"L-20",89600.1451813592,58.67,-169.78
"L-21",96954.3762354828,58.67,-170.43
"L-22",84515.9354258077,58.67,-171.08
"L-23",53611.3912112337,58.67,-171.72
"L-24",25974.8477080587,58.67,-172.37
"L-25",34836.9523301211,58.67,-173
"L-26",44472.5821807328,58.67,-173.63
"L-27",15826.9233626596,58.67,-174.27
"L-29",7537.59944266155,58.67,-175.55
"M-18",16677.2819981454,59,-168.53
"M-19",54100.6174026034,59,-169.18
"M-20",111902.264092778,59,-169.83
"M-21",141674.034611241,59,-170.48
"M-22",87155.4210632823,59,-171.13
"M-23",70505.1164124934,59,-171.78
"M-24",10977.891446995,59,-172.43
"M-25",52835.9918641238,59,-173.08
"M-26",26564.3257443848,59,-173.72
"M-27",6937.47766668169,59,-174.37
"N-01",6404.39799261188,59.33,-167.92
"N-18",17313.8887970168,59.33,-168.57
"N-19",28174.2106475739,59.33,-169.23
"N-20",87098.1589181233,59.33,-169.87
"N-21",168286.958723918,59.33,-170.53
"N-22",135559.801802509,59.33,-171.18
"N-23",70170.2810651645,59.33,-171.83
"N-24",36799.8380542731,59.33,-172.5
"N-25",17936.017607388,59.33,-173.15
"N-26",54874.6354330132,59.33,-173.8
"N-27",23677.153417978,59.33,-174.45
"N-28",23647.2744292174,59.33,-175.1
"O-18",15682.1819119333,59.67,-168.62
"O-19",23802.4431046563,59.67,-169.27
"O-20",63081.9549453352,59.67,-169.92
"O-21",85177.2485365874,59.67,-170.58
"O-22",124037.024492096,59.67,-171.25
"O-23",90614.9636874389,59.67,-171.9
"O-24",110457.736528494,59.67,-172.57
"O-25",25418.4610512543,59.67,-173.23
"O-26",18499.5221756048,59.67,-173.87
"O-27",110906.796562017,59.67,-174.45
"O-28",162983.065002247,59.67,-175.1
"O-29",30683.0380538194,59.67,-175.87
"O-30",6805.64006586624,59.67,-176.53
"O-31",6871.39111607654,59.67,-177.15
"P-18",28970.8244349162,60,-168.65
"P-19",30153.3189207602,60,-169.32
"P-20",56842.2874910793,60,-169.97
"P-21",115499.365740971,60,-170.63
"P-22",120500.856981938,60,-171.3
"P-23",55979.6796941376,60,-171.97
"P-24",52383.5116075701,60,-172.63
"P-25",70119.0192287521,60,-173.3
"P-26",66037.3976873442,60,-173.95
"P-27",23887.4415868874,60,-174.6
"P-28",72836.4496385963,60,-175.27
"P-29",122234.105445534,60,-175.93
"P-30",131515.423274153,60,-176.72
"P-31",9772.40387437711,60,-177.22
"P-32",16607.7937850958,60,-177.93
"Q-18",14733.8231747007,60.33,-168.68
"Q-19",51923.6380438951,60.33,-169.33
"Q-20",116287.10749588,60.33,-170.03
"Q-21",179204.85049707,60.33,-170.67
"Q-22",169311.606219143,60.33,-171.37
"Q-23",82321.9008004613,60.33,-172.07
"Q-25",26196.1568987193,60.33,-173.4
"Q-26",183479.241523178,60.33,-174.07
"Q-27",60168.585086977,60.33,-174.72
"Q-28",68133.8713567476,60.33,-175.38
"Q-29",50162.5440068721,60.33,-176.03
"Q-30",232944.614949709,60.33,-176.72
"Q-31",8435.63107158409,60.33,-177.38
"R-22",189348.824294797,60.67,-171.43
"R-23",171233.299399796,60.67,-172.12
"R-24",184175.394678512,60.67,-172.78
"R-25",59950.2202956507,60.67,-173.47
"R-26",194978.637469843,60.67,-174.13
"R-27",148538.466862477,60.67,-174.82
"R-28",33853.5618924303,60.67,-175.45
"R-29",48358.7577696701,60.67,-176.2
"R-30",36771.7811173576,60.67,-176.8
"R-31",23501.2025643874,60.67,-177.5
"R-32",110102.288815269,60.67,-178.18
"S-22",212741.40902906,61,-171.48
"S-23",135812.781571657,61,-172.17
"S-24",212567.627246604,61,-172.82
"S-25",160967.865900667,61,-173.5
"S-26",196476.466199379,61,-174.18
"S-27",133420.088764427,61,-174.88
"S-28",57361.1434025654,61,-175.55
"S-29",70302.7635173339,61,-176.28
"S-30",55927.4551808683,61,-176.97
"S-31",31532.3970553138,61,-177.63
"T-25",159888.700977264,61.33,-173.58
"T-26",186638.718781247,61.33,-174.33
"T-27",113422.24489647,61.33,-175
"T-28",118288.912155353,61.33,-175.67
"T-29",82290.2235198634,61.33,-176.3
"T-30",76314.7270259147,61.33,-176.97
"U-25",236145.119873919,61.67,-173.67
"U-26",195858.501135958,61.67,-174.43
"U-27",142609.3431367,61.67,-175.08
"U-28",213654.837176987,61.67,-175.78
"U-29",91679.4695243323,61.67,-176.47
"V-25",244947.128863898,62,-173.75
"V-26",312098.374792427,62,-174.5
"V-27",170649.171714072,62,-175.17
"V-28",163014.470624619,62,-175.83
